Filename , Multicolour0,Horizontal0,Vertical0,Ratio0,Multicolour1,Horizontal1,Vertical 1,Ratio1
PAT_100_393_595.png,0,209,367,1.755980861,0,120,210,1.75
PAT_100_393_898.png,0,40,65,1.625,0,36,68,1.888888889
PAT_108_161_423.png,1,586,551,1.063520871,1,605,535,1.130841121
PAT_109_868_113.png,1,489,523,1.069529652,1,478,529,1.106694561
PAT_109_868_723.png,1,204,206,1.009803922,0,190,204,1.073684211
PAT_112_168_360.png,1,382,432,1.130890052,1,388,428,1.103092784
PAT_118_180_500.png,1,230,271,1.17826087,1,216,269,1.24537037
PAT_131_197_974.png,1,530,589,1.111320755,1,531,610,1.148775895
PAT_173_268_1000.png,1,197,223,1.131979695,0,201,214,1.064676617
PAT_191_293_391.png,1,731,917,1.254445964,1,763,627,1.216905901
PAT_194_298_367.png,1,146,231,1.582191781,0,156,230,1.474358974
PAT_194_298_945.png,0,52,60,1.153846154,0,49,64,1.306122449
PAT_207_313_709.png,1,323,227,1.422907489,1,338,229,1.475982533
PAT_215_330_341.png,1,554,515,1.075728155,1,599,512,1.169921875
PAT_256_295_583.png,1,312,331,1.060897436,1,309,330,1.067961165
PAT_257_396_494.png,1,330,404,1.224242424,1,336,398,1.18452381
PAT_267_1258_693.png,1,427,435,1.018735363,1,368,355,1.036619718
PAT_270_1382_561.png,0,345,449,1.301449275,1,383,403,1.052219321
PAT_270_417_728.png,1,393,420,1.06870229,1,343,440,1.282798834
PAT_303_652_342.png,1,891,919,1.031425365,1,917,868,1.056451613
PAT_320_681_410.png,1,160,172,1.075,1,160,156,1.025641026
PAT_320_681_724.png,1,446,494,1.107623318,1,410,508,1.23902439
PAT_333_1468_620.png,1,189,271,1.433862434,0,162,204,1.259259259
PAT_333_1469_499.png,1,416,268,1.552238806,1,188,262,1.393617021
PAT_333_702_840.png,0,164,200,1.219512195,0,414,254,1.62992126
PAT_334_703_907.png,0,140,168,1.2,1,137,163,1.189781022
PAT_340_714_68.png,1,861,886,1.029036005,1,856,871,1.017523364
PAT_345_719_815.png,1,157,111,1.414414414,1,128,100,1.28
PAT_352_729_947.png,1,413,212,1.948113208,1,361,241,1.497925311
PAT_373_2598_235.png,0,329,421,1.279635258,0,295,409,1.386440678
PAT_398_799_163.png,1,237,282,1.189873418,1,274,291,1.062043796
PAT_403_804_994.png,1,277,212,1.306603774,1,247,210,1.176190476
PAT_433_2650_417.png,0,131,121,1.082644628,0,54,64,1.185185185
